Section,Assumption,Value,Unit,Confidence,Source status,Source
Headline,Committed US TAM (realized price $35-50 band),1250,USD millions per year,Low-Medium,Derived,"Triangulation of bottom-up and top-down builds"
Headline,TAM range low,1000,USD millions per year,Low-Medium,Derived,Team
Headline,TAM range high,1700,USD millions per year,Low-Medium,Derived,Team
Headline,Combined serviceable market (SAM),840,USD millions per year,Low-Medium,Derived,"Consumer online niche 158 plus B2B supplier-level pool 681"
Headline,Realistic year-3 revenue (SOM),5.0,USD millions,Low-Medium,Derived,Team
Headline,Year-3 revenue range low,3.0,USD millions,Low,Assumption,Team
Headline,Year-3 revenue range high,6.5,USD millions,Low,Assumption,Team
Headline,Year-3 share of TAM,0.40,percent,Low-Medium,Derived,Team
Bottom-up,YETI FY2025 global drinkware net sales,1085.8,USD millions,High,Filed,"YETI Holdings FY2025 earnings release ex-99.1, SEC.gov, Feb 19 2026"
Bottom-up,YETI FY2025 total net sales,1868.5,USD millions,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,YETI FY2025 US net sales,1474.1,USD millions,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,YETI FY2025 international net sales,394.4,USD millions,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,YETI US share of total sales,78.9,percent,High,Derived,"1474.1 / 1868.5"
Bottom-up,YETI FY2025 DTC channel sales,1127.8,USD millions,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,YETI DTC share of sales,60.4,percent,High,Derived,"1127.8 / 1868.5"
Bottom-up,YETI FY2025 gross margin,57.4,percent,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,YETI FY2025 tariff impact on gross margin,-230,basis points,High,Filed,"YETI FY2025 earnings release ex-99.1"
Bottom-up,US share of YETI global drinkware (below company US mix),76,percent,Low,Assumption,"YETI disclosed international drove drinkware growth while US declined"
Bottom-up,YETI US drinkware net sales,825,USD millions,Medium,Derived,"1085.8 x 76%"
Bottom-up,Wholesale-to-retail conversion ratio,55,percent,Low,Assumption,Team
Bottom-up,YETI US drinkware retail value,1090,USD millions,Medium,Derived,"DTC at retail plus wholesale grossed up"
Bottom-up,Stanley US retail value,550,USD millions,Low,Trade press,"Modern Retail / Fast Company / ecdb estimates; private company"
Bottom-up,Owala US retail value,500,USD millions,Low,Third-party tracked,"Share estimates; private company"
Bottom-up,Hydro Flask US retail value,300,USD millions,Low-Medium,Derived,"Helen of Troy Home & Outdoor segment disclosures"
Bottom-up,Other branded US retail value,850,USD millions,Low,Assumption,"Thermos, Contigo, CamelBak, Brumate, Corkcicle, Simple Modern, Iron Flask, Takeya"
Bottom-up,Private label and marketplace unbranded,500,USD millions,Low,Third-party tracked,"Private label share estimate ~10%"
Bottom-up,Total US insulated drinkware retail (all price points),3790,USD millions,Low-Medium,Derived,Sum of above
Bottom-up,Share of dollars at $35-50 realized price,35,percent,Low,Assumption,Team
Bottom-up,Bottom-up TAM result,1330,USD millions,Low,Derived,"3790 x 35%"
Top-down,US resident population Jul 1 2025,341784857,persons,High,Government,"US Census Bureau Vintage 2025 estimate"
Top-down,Adults 18+ share,77.5,percent,High,Government,"Census age distribution"
Top-down,US adults 18+,265000000,persons,High,Derived,Census-derived
