line_id,role,item,formula,value,unit,origin,source_path,notes
V1,verdict,M13 validity,,valid-with-caveats,verdict,ESTIMATED,Decisions/EH&B/Brokerage Metrics.xlsx,Right commercial outcome (Internet print in accounts). Caveats: no channel number in repo; Excel mixed enrollments into the unit; same-window job-exit (D) omitted from original numerator; tagged is not incremental.
F0,definition,Tightened M13,M13_t = P_t - E_t - D_t,,residential Internet accounts,ESTIMATED,Decisions/EH&B/Brokerage Metrics.xlsx,Primary KPI is the account count. Do not report M13 as a percent of enrollments. Window t = Ex99.1 calendar quarter locked before the pull.
P,input,Path-tagged provisions P_t,,BLANK,residential Internet PSUs,MUST PULL,not in repo,Gross broker/employer-path billing events on a residential Internet PSU in t (employer ID + channel code). Not enrollments; not mobile; not Spectrum Business.
E,input,Existing / payer-only E_t,,BLANK,residential Internet PSUs,MUST PULL,not in repo,Subset of P already active Spectrum residential Internet at t-1. Payer change or discount only. Retention/transfer — not a net add. M6-adjacent flow.
D,input,Same-window job-exit disconnects D_t,,BLANK,residential Internet PSUs,MUST PULL,not in repo,Subset of (P-E) that disconnect from Spectrum in t because employment eligibility ended. Do not subtract self-pay stayers. Post-window job-exit is M14.
M13,derived,Channel net new residential Internet accounts,P - E - D,BLANK,residential Internet accounts,MUST PULL,not in repo,No number exists for this path. Do not invent conversion rates to fill.
X1,context_only,Company residential Internet net adds Q1 2026,,-117000,accounts,RETRIEVED,PrimarySources/readable/CHTR-Q1-2026-Earnings-Release-Ex99.1.md,Ex99.1 Internet block: Residential quarterly net additions (117). Context that Charter already reports account net adds. NOT channel M13. Do not scale.
X2,context_only,Company residential Internet customers decreased FY2025,,-393000,accounts,RETRIEVED,PrimarySources/readable/CHTR-10-K-FY2025.md,10-K: "Residential Internet customers decreased by 393,000 in 2025 compared to 2024." Context only. NOT channel M13.
X3,context_only,Company residential Internet net adds Q2 2026,,-166000,accounts,RETRIEVED,PrimarySources/readable/CHTR-Q2-2026-Earnings-Release-Ex99.1.md,Ex99.1 Internet block: Residential quarterly net additions (166). Later public fact vs Q1 course anchor. Context only. NOT channel M13.
X4,context_only,Company total Internet net adds Q1 2026,,-120000,accounts,RETRIEVED,PrimarySources/readable/CHTR-Q1-2026-Earnings-Release-Ex99.1.md,Headline total Internet -120k = residential -117k + SMB -3k. Do not use as the M13 analog; M13 is residential only.
D1,data_needed,Channel tag (employer ID + broker/path code),,MISSING,flag,MUST PULL,billing / order entry,Without it M13 cannot be isolated from ordinary adds.
D2,data_needed,Prior-account flag (active Spectrum res. Internet at t-1),,MISSING,flag,MUST PULL,billing snapshot,Customer ID preferred; address match is fallback (movers/MDUs). Computes E.
D3,data_needed,Payer type (employer / employee / self-pay),,MISSING,category,MUST PULL,billing,Separates discounting an existing line from a new relationship.
D4,data_needed,Eligibility termination date,,MISSING,date,MUST PULL,benefits-admin / employer roster,Join to disconnects to compute D. Benefit unenroll ≠ Spectrum disconnect.
D5,data_needed,Disconnect date and whether PSU ended,,MISSING,date,MUST PULL,billing,D is Spectrum disconnect in t; self-pay stayers stay in the print.
D6,data_needed,Measurement window locked to Ex99.1 quarter,,MISSING,calendar,MUST PULL,reporting calendar,So M13 is in the same unit as the company print.
K1,kill_rule,Pilot M13 approximately 0 because P is almost all E or D,,n/a,rule,ESTIMATED,,Kill the channel as an Internet-print play even if enrollments are large. Do not substitute enrollments/passings/reach.
U1,unwilling,Conversion rate; channel net-add count; share of company print closed; contribution/subsidy/broker cost; TAM,,n/a,claim,ESTIMATED,,Inputs do not exist. M14 stays blank. No invented take-up.
