firm,analyst_name,last_public_appearance,appearance_type,latest_public_rating,latest_public_pt_usd,report_status,source,source_who_funds,full_report_locator
MoffettNathanson,Craig Moffett,2026-07-24,earnings_call_q2_2026,,,paywalled_not_obtained,"Q2 2026 CHTR earnings-call Q&A roster (Seeking Alpha / CapEdge / Roic AI / Alphastreet public transcripts, 24 Jul 2026); also Q1 2026 (24 Apr) and Q4 2025 (30 Jan)","Public transcript republishers (not a broker). Company IR webcast: ir.charter.com. Full Moffett notes are client-only.","Bloomberg / FactSet / Refinitiv / MoffettNathanson client portal — title unknown; no PDF in repo"
New Street Research,Vikash Harlalka,2026-07-24,earnings_call_q2_2026,Buy,302,paywalled_not_obtained,"Q2 2026 call Q&A; also Q1 2026 and Q4 2025 calls. PT $328->$302 Buy: MarketWatch/MT headline 20 May 2026 in-repo on PrimarySources/CHTR-Q1-2026-Trending-Schedule.md (Marketscreener scrape). Analyst name on the PT headline was not printed.","Call: public transcript. PT headline: Marketscreener/MT news wire on a company trending-schedule scrape — not the New Street PDF.","New Street Research client portal / Bloomberg — 20 May 2026 Buy PT $302; no PDF in repo"
Wells Fargo Securities,Steven Cahall,2026-07-27,earnings_call_q2_2026_plus_note,Underweight,101,paywalled_not_obtained,"Q2 2026 call Q&A (24 Jul); also Q1 2026 and Q4 2025. PT $160->$101 Underweight: MarketBeat 27 Jul 2026 (Benzinga-sourced).","MarketBeat is an ad/subscription retail aggregator; ratings data attributed to Benzinga. Not a broker. Call appearance is independent confirmation.","Wells Fargo research portal / Bloomberg — 27 Jul 2026 Underweight PT $101; no PDF in repo"
LightShed Partners,Walter Piecyk,2026-07-24,earnings_call_q2_2026,,,paywalled_not_obtained,Q2 2026 CHTR earnings-call Q&A roster (public transcripts 24 Jul 2026),Public transcript republishers. LightShed notes are client-only.,"LightShed / Bloomberg — post-Q2 2026 note if issued; no PDF in repo"
Morgan Stanley,Sean Diffley,2026-04-24,earnings_call_q1_2026,,,paywalled_not_obtained,Q1 2026 CHTR earnings-call Q&A (24 Apr 2026). Took the Morgan Stanley slot vs Q4 2025 (Swinburne).,Public transcript. Full MS notes paywalled.,"Morgan Stanley research portal / Bloomberg; no PDF in repo"
UBS,John Hodulik,2026-07-27,earnings_call_q1_2026_plus_note,Neutral,140,paywalled_not_obtained,"Q1 2026 call Q&A (24 Apr). PT $235->$140 Neutral: MarketBeat 27 Jul 2026.","MarketBeat/Benzinga aggregator. Call appearance is independent confirmation.","UBS research portal / Bloomberg — 27 Jul 2026 Neutral PT $140; no PDF in repo"
JPMorgan,Sebastiano Petti,2026-07-29,earnings_call_q1_2026_plus_note,Neutral,150,paywalled_not_obtained,"Q1 2026 call Q&A (24 Apr). PT $200->$150 Neutral: MarketBeat 29 Jul 2026. MarketBeat also shows 29 Apr 2026 initiated Neutral $215.","MarketBeat/Benzinga aggregator. Call appearance is independent confirmation.","JPMorgan research portal / Bloomberg — 29 Jul 2026 Neutral PT $150; no PDF in repo"
Morgan Stanley,Benjamin Swinburne,2026-01-30,earnings_call_q4_2025,Equal Weight,415,paywalled_not_obtained,"Q4 2025 call Q&A (30 Jan 2026). Last named PT on MarketBeat: 28 Apr 2025 Equal Weight $385->$415. Q1 2026 call slot was Sean Diffley — possible coverage handoff.","Call: public transcript. Apr 2025 PT: MarketBeat/Benzinga.","Morgan Stanley research portal / Bloomberg; no PDF in repo"
Bank of America,Jessica Reif Ehrlich,2026-07-27,earnings_call_q4_2025_plus_note,Buy,,paywalled_not_obtained,"Q4 2025 call Q&A as Jessica Reif Ehrlich with BofA (30 Jan 2026). MarketBeat 27 Jul 2026: Jessica Ehrlich reiterated Buy (no PT printed on that row).","Call: public transcript. Rating: MarketBeat/Benzinga.","BofA Global Research portal / Bloomberg — 27 Jul 2026 Buy reiteration; no PDF in repo"
Goldman Sachs,Michael Ng,2026-01-30,earnings_call_q4_2025,Sell,185,paywalled_not_obtained,"Q4 2025 call Q&A (30 Jan 2026). MarketBeat/PriceTargets: 2 Feb 2026 Sell PT $210->$185 (named Michael Ng). Later GS notes on MarketBeat (2 Jul 2026) are named James Schneider — possible coverage change.","Call: public transcript. Feb note: MarketBeat/Benzinga.","Goldman Sachs research portal / Bloomberg; no PDF in repo"
