item_id,must_measure,numerator,denominator,when,why_it_is_not_optional
P1,Payor design chosen by each pilot employer,Employers in each of: employer-paid; employee-paid voluntary; hybrid/shared,Pilot employers offered a documented design,At contracting / before OE,M9a. Take-up is uninterpretable without this mix.
P2,Covered-lives weight of each payor cell,Eligible employees in each payor cell,All eligible employees in the pilot book,At OE freeze,Employer-count mix and lives mix can diverge; lives are what Charter's print cares about.
P3,Eligibility census,Employees who meet the written eligibility rule (hours/class/waiting period) AND were shown the offer,Employees on the employer file,OE open,Do not use 'all employees' as the denominator if the ballot was only shown to some classes.
P4,Address captured,Eligible employees who supplied a residential address,Eligible employees offered the benefit,OE,Take-up of an ISP product requires an address; a benefits click without an address is not an internet account.
P5,Enrollment,Internet accounts opened or transferred under the offer (one per employee),P3 eligibles; also P4 address-captured as a sensitivity,OE close + 90 days,This is M9b. Time-box it. Do not leave the window open indefinitely and call it a rate.
P6,Payor-stratified take-up,P5 enrollments in each M9a cell,P3 eligibles in that cell,Same window as P5,The split. Never headline a blend.
P7,Employee contribution / subsidy,Dollar employee pays per month and dollar employer pays per month,Per enrolled account and per eligible (offered price),At offer,Price is the lever that makes voluntary take-up move; a $0 employer-paid line is a different product from a $70/month voluntary line.
P8,Decline / non-elect reasons (opt-in survey),Employees citing already-have-adequate; already-Spectrum; out of footprint; price; hassle; do not want employer in the home,Non-enrollees who respond,OE or 90-day pulse,Separates 'did not elect' from M5 footprint fail and M6 already-adequate. Privacy: no usage monitoring.
P9,Already-Spectrum among enrollees,Enrollees matched to an active Spectrum residential account at t-1,Enrollees,Billing match after provision,Enrollment is not a net add. M13 owns the net-add arithmetic; M9 must not count transfers as proof of election-to-new.
P10,Written kill thresholds before OE,n/a — a pair of pre-committed floors (M9a employer-paid share; M9b voluntary take-up),n/a,Before the first employee sees a ballot,A floor written after seeing the rate is decoration.
