line_id,description,value,unit,origin,funded_by,url,notes
S1,M2 specified numerator,"covered lives at top N broker firms (N e.g. 5 or 10, not locked)",lives,DEFINITION,n/a — metric register,"Decisions/EH&B/Brokerage Metrics.xlsx (Core metrics, M2)",Same definition on chtr-ehb-broker-channel-core-metrics.canvas.tsx
S2,M2 specified denominator,total broker-placed covered lives in the same geography as M1,lives,DEFINITION,n/a — metric register,"Decisions/EH&B/Brokerage Metrics.xlsx (Core metrics, M2)","Geography is Spectrum-state book in M1, not independently specified as US"
X1,Share of broker-placed EH&B covered lives at largest N brokers,,percent of lives,NOT RETRIEVED,n/a,,Refused to invent. 10-Ks do not disclose US EH&B covered lives or lives share.
A1,BI Top 5 2024 U.S. brokerage revenue,37289055284,USD,RETRIEVED,Business Insurance / Crain Communications (trade press; brokers self-report),https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,"Marsh, Aon, Gallagher, WTW, Alliant. Revenue, not lives. P&C + benefits."
A2,BI Top 10 2024 U.S. brokerage revenue,53611551395,USD,RETRIEVED,Business Insurance / Crain Communications (trade press; brokers self-report),https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,"Adds Brown & Brown, Hub, Lockton, AssuredPartners, USI."
A3,BI Top 100 2024 U.S. brokerage revenue (sum of published table),79801766514,USD,RETRIEVED,Business Insurance / Crain Communications (trade press; brokers self-report),https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,Excludes firms with >49% personal-lines gross revenue. Not the entire US brokerage market.
A4,Top 5 / Top 100 U.S. brokerage revenue,46.73,percent of Top 100 revenue,DERIVED,same as A1–A3,https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,A4 = A1 / A3. Not share of all US brokerage; remainder below #100 unknown.
A5,Top 10 / Top 100 U.S. brokerage revenue,67.18,percent of Top 100 revenue,DERIVED,same as A1–A3,https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,A5 = A2 / A3 = 67.18%. Headline rounded to 67%.
A6,Marsh+Aon+Gallagher+WTW+Lockton / Top 100 (NFP inside Aon pro forma),44.10,percent of Top 100 revenue,DERIVED,same as A1–A3,https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,Named firms from the M2 pull list. NFP not separately ranked.
A7,"MarshBerry citing BI: Top 10 share of Top 100, 2025 U.S. revenue vintage",70,percent of Top 100 revenue,RETRIEVED,MarshBerry (broker M&A advisory thought leadership) citing Business Insurance,https://www.marshberry.com/resource/the-next-era-of-insurance-brokerage-the-top-100-defined-by-growth-consolidation-and-ai/,They state Top 100 $83.3B and Top 10 $58.5B. Different year than A1–A6. Do not mix.
B1,PlanOptica top 5 published compensation shares (sum),28.1,percent of PlanOptica H&W compensation universe,DERIVED,Underlying: plan sponsors filing Form 5500 with DOL/EBSA. Indexer: PlanOptica (for-profit).,https://planoptica.com/welfare/broker,"MMA 7.1 + Gallagher 5.9 + Lockton 5.8 + Mercer 5.0 + USI 4.3. Compensation, not lives."
